,Company,Date_x,Next_Date,Sentiment_Score,Price
2336,MUR,2016-12-31,2017-01-30,-0.071381403,23.2576847076416
2337,MUR,2017-12-31,2018-01-30,-0.01203487,27.668472290039066
2338,MUR,2018-12-31,2019-01-30,0.15272856699999998,24.447723388671875
2339,MUR,2019-12-31,2020-01-30,0.201242169,19.423980712890625
2340,MUR,2020-12-31,2021-02-01,-0.015994912,11.59402561187744
2341,MUR,2021-12-31,2022-01-31,-0.01048943,31.061920166015625
2342,MYL,2015-12-31,2016-02-01,-0.000794797,
2343,MYL,2016-12-31,2017-01-30,-0.022626972999999998,
2344,MYL,2017-12-31,2018-01-30,0.055090327,
2345,MYL,2018-12-31,2019-01-30,0.005904834,
2346,MYL,2019-12-31,2020-01-30,-0.082800833,
2347,NAVI,2014-12-31,2015-01-30,0.007715863000000001,13.6404447555542
2348,NAVI,2015-12-31,2016-02-01,-0.030208841,6.712497234344482
2349,NAVI,2016-12-31,2017-01-30,-0.077510471,11.418416976928713
2350,NAVI,2017-12-31,2018-01-30,-0.039859379,11.25793743133545
2351,NAVI,2018-12-31,2019-01-30,-0.01293448,9.525824546813963
2352,NAVI,2019-12-31,2020-01-30,0.003153079,13.020977973937988
2353,NAVI,2020-12-31,2021-02-01,-0.219129324,10.593510627746582
2354,NAVI,2021-12-31,2022-01-31,-0.265487546,16.916574478149414
2355,NBL,2014-12-31,2015-01-30,-0.06884876200000001,
2356,NBL,2015-12-31,2016-02-01,-0.109215626,
2357,NBL,2016-12-31,2017-01-30,-0.248678763,
2358,NBL,2017-12-31,2018-01-30,-0.276499888,
2359,NBL,2018-12-31,2019-01-30,-0.285278367,
2360,NBL,2019-12-31,2020-01-30,-0.047566477,
2361,NEE,2014-12-31,2015-01-30,0.071043698,22.49569702148437
2362,NEE,2015-12-31,2016-02-01,0.146616494,23.98205375671387
2363,NEE,2016-12-31,2017-01-30,0.037945009,26.770456314086914
2364,NEE,2017-12-31,2018-01-30,-0.013817956999999999,34.85493850708008
2365,NEE,2018-12-31,2019-01-30,0.04043133,40.067378997802734
2366,NEE,2019-12-31,2020-01-30,-0.012894803,63.81103134155274
2367,NEE,2020-12-31,2021-02-01,-0.00602265,78.84811401367188
2368,NEE,2021-12-31,2022-01-31,0.007856476,76.87689208984375
2369,NEM,2014-12-31,2015-01-30,-0.003435239,21.836727142333984
2370,NEM,2015-12-31,2016-02-01,0.028168778999999998,17.931596755981445
2371,NEM,2016-12-31,2017-01-30,0.010841321000000001,30.62929344177246
2372,NEM,2017-12-31,2018-01-30,-0.000212494,35.37092208862305
2373,NEM,2018-12-31,2019-01-30,-0.031334062999999995,30.218202590942386
2374,NEM,2019-12-31,2020-01-30,0.001269605,41.95769882202149
2375,NEM,2020-12-31,2021-02-01,-0.031140742000000003,56.86116027832031
2376,NEM,2021-12-31,2022-01-31,-0.03965692,60.24417114257813
2377,NFLX,2014-12-31,2015-01-30,0.20194445600000002,63.11428451538086
2378,NFLX,2015-12-31,2016-02-01,0.028571335,94.08999633789062
2379,NFLX,2016-12-31,2017-01-30,0.102691205,141.22000122070312
2380,NFLX,2017-12-31,2018-01-30,-0.333091653,278.79998779296875
2381,NFLX,2018-12-31,2019-01-30,-0.311417379,340.6600036621094
2382,NFLX,2019-12-31,2020-01-30,0.0,347.739990234375
2383,NFLX,2020-12-31,2021-02-01,-0.049932673,539.0399780273439
2384,NFLX,2021-12-31,2022-01-31,-0.005564388000000001,427.1400146484375
2385,NFX,2014-12-31,2015-01-30,0.084240833,
2386,NFX,2015-12-31,2016-02-01,0.008925724,
2387,NFX,2016-12-31,2017-01-30,-0.0206822,
2388,NFX,2017-12-31,2018-01-30,0.033029205,
2389,NI,2014-12-31,2015-01-30,0.129394301,13.39875602722168
2390,NI,2015-12-31,2016-02-01,0.17450355399999998,17.280956268310547
2391,NI,2016-12-31,2017-01-30,0.08117327099999999,18.221036911010746
2392,NI,2017-12-31,2018-01-30,0.034059626,20.98578453063965
2393,NI,2018-12-31,2019-01-30,-0.067050594,23.69721603393555
2394,NI,2019-12-31,2020-01-30,-0.006173474,26.532939910888672
2395,NI,2020-12-31,2021-02-01,-0.01399844,20.930007934570312
2396,NI,2021-12-31,2022-01-31,0.071516014,28.49017143249512
2397,NKE,2015-05-31,2015-06-30,0.33203554,50.03467178344727
2398,NKE,2016-05-31,2016-06-30,0.377345902,51.67403793334961
2399,NKE,2017-05-31,2017-06-30,0.285125022,55.94811630249024
2400,NKE,2018-05-31,2018-07-02,0.187824148,75.23594665527344
2401,NKE,2019-05-31,2019-07-01,0.247476038,82.90365600585938
2402,NKE,2020-05-31,2020-06-30,0.052662195999999994,96.1723175048828
2403,NKE,2021-05-31,2021-06-30,0.29434551,152.78976440429688
2404,NKE,2022-05-31,2022-06-30,0.217489672,101.90727996826172
2405,NOC,2014-12-31,2015-01-30,-0.04256922,138.36447143554688
2406,NOC,2015-12-31,2016-02-01,-0.135082331,169.37879943847656
2407,NOC,2016-12-31,2017-01-30,-0.04516353,209.4257354736328
2408,NOC,2017-12-31,2018-01-30,0.070369965,314.3161315917969
2409,NOC,2018-12-31,2019-01-30,0.148753918,264.10067749023443
2410,NOC,2019-12-31,2020-01-30,0.103014551,367.71624755859375
2411,NOC,2020-12-31,2021-02-01,0.027601581,283.9842834472656
2412,NOC,2021-12-31,2022-01-31,0.09222931300000001,365.7837524414063
2413,NOV,2014-12-31,2015-01-30,0.070046951,49.50604629516602
2414,NOV,2015-12-31,2016-02-01,-0.107719977,30.35707092285156
2415,NOV,2016-12-31,2017-01-30,-0.30039462100000003,36.31855773925781
2416,NOV,2017-12-31,2018-01-30,-0.06969656,35.595314025878906
2417,NOV,2018-12-31,2019-01-30,0.178400315,29.22957801818848
2418,NOV,2019-12-31,2020-01-30,-0.176898246,20.732402801513672
2419,NOV,2020-12-31,2021-02-01,-0.086611239,12.546643257141113
2420,NOV,2021-12-31,2022-01-31,0.17772043699999998,16.342639923095707
2421,NRG,2014-12-31,2015-01-30,-0.033584657999999996,21.14250373840332
2422,NRG,2015-12-31,2016-02-01,-0.027588366,9.504733085632324
2423,NRG,2016-12-31,2017-01-30,-0.059913283,14.612971305847168
2424,NRG,2017-12-31,2018-01-30,-0.063924523,23.54494667053223
2425,NRG,2018-12-31,2019-01-30,0.010984809,36.40250015258789
2426,NRG,2019-12-31,2020-01-30,0.064475787,33.770286560058594
2427,NRG,2020-12-31,2021-02-01,0.052930952,40.07244873046875
2428,NRG,2021-12-31,2022-01-31,-0.030173792999999997,39.18473815917969
2429,NSC,2014-12-31,2015-01-30,0.249296102,86.15982055664062
2430,NSC,2015-12-31,2016-02-01,0.21512297800000002,61.20666885375977
2431,NSC,2016-12-31,2017-01-30,0.102446985,107.3567123413086
2432,NSC,2017-12-31,2018-01-30,0.411268201,137.43849182128906
2433,NSC,2018-12-31,2019-01-30,0.369158781,157.243896484375
2434,NSC,2019-12-31,2020-01-30,0.266366232,204.2798767089844
2435,NSC,2020-12-31,2021-02-01,-0.17478917800000002,232.89865112304688
2436,NSC,2021-12-31,2022-01-31,-0.090070049,268.185302734375
2437,NTAP,2015-04-24,2015-05-26,0.024725275,26.907773971557614
2438,NTAP,2016-04-29,2016-05-31,0.01357355,21.640213012695312
2439,NTAP,2017-04-28,2017-05-30,0.124493462,35.09933090209961
2440,NTAP,2018-04-27,2018-05-29,0.120498185,59.02896118164063
2441,NTAP,2019-04-26,2019-05-28,0.08778406,54.70364761352539
2442,NTAP,2020-04-24,2020-05-26,-0.060298486,42.21318054199219
2443,NTAP,2021-04-30,2021-06-01,0.013949082,74.34906768798828
2444,NTAP,2022-04-29,2022-05-31,0.04585517099999999,71.38194274902344
2445,NTRS,2014-12-31,2015-01-30,0.07975054599999999,54.80414581298828
2446,NTRS,2015-12-31,2016-02-01,0.091338775,52.36279678344727
2447,NTRS,2016-12-31,2017-01-30,0.07350287900000001,72.57350158691406
2448,NTRS,2017-12-31,2018-01-30,0.065950465,93.89582061767578
2449,NTRS,2018-12-31,2019-01-30,0.0849716,81.00493621826172
2450,NTRS,2019-12-31,2020-01-30,0.040916176,94.04305267333984
2451,NTRS,2020-12-31,2021-02-01,0.036789953,87.20135498046875
2452,NTRS,2021-12-31,2022-01-31,-6.01e-05,115.1421127319336
2453,NUE,2014-12-31,2015-01-30,0.0,35.37835693359375
2454,NUE,2015-12-31,2016-02-01,0.0,32.88169479370117
2455,NUE,2016-12-31,2017-01-30,0.0,51.97301483154297
2456,NUE,2017-12-31,2018-01-30,0.0,59.28786087036133
2457,NUE,2018-12-31,2019-01-30,0.0,54.95165252685547
2458,NUE,2019-12-31,2020-01-30,0.10290187699999999,45.81344223022461
2459,NUE,2020-12-31,2021-02-01,-0.014625531,47.77637100219727
2460,NUE,2021-12-31,2022-01-31,0.259714565,100.5951156616211
2461,NVDA,2015-01-25,2015-02-24,0.04621515599999999,5.382164001464844
2462,NVDA,2016-01-31,2016-03-01,0.069134088,8.03014087677002
2463,NVDA,2017-01-29,2017-02-28,0.040588429,25.061994552612305
2464,NVDA,2018-01-28,2018-02-27,0.159394322,60.96589279174805
2465,NVDA,2019-01-27,2019-02-26,0.187845415,39.008785247802734
2466,NVDA,2020-01-26,2020-02-25,-0.056034214000000006,65.32255554199219
2467,NVDA,2021-01-31,2021-03-02,-0.045920782,133.8944091796875
2468,NVDA,2022-01-30,2022-03-01,0.082038826,234.68040466308597
2469,NWL,2014-12-31,2015-01-30,0.089771962,28.00577735900879
2470,NWL,2015-12-31,2016-02-01,0.09663870199999999,30.18478965759277
2471,NWL,2016-12-31,2017-01-30,0.007089376,36.40532302856445
2472,NWL,2017-12-31,2018-01-30,0.028939014,20.66261482238769
2473,NWL,2018-12-31,2019-01-30,-0.049522558,17.445100784301758
